iter	Passed	Remaining
0	126	12534
1	134	6576
2	141	4574
3	148	3561
4	156	2969
5	163	2559
6	170	2265
7	178	2049
8	184	1867
9	192	1730
10	200	1618
11	206	1512
12	213	1428
13	220	1355
14	227	1289
15	233	1226
16	239	1171
17	246	1123
18	252	1077
19	259	1038
20	265	1000
21	272	964
22	278	931
23	284	901
24	291	875
25	297	847
26	303	821
27	310	797
28	316	774
29	322	753
30	329	733
31	335	713
32	342	694
33	348	676
34	355	660
35	361	642
36	367	626
37	374	610
38	381	596
39	387	581
40	394	567
41	400	552
42	406	539
43	412	525
44	418	511
45	424	498
46	432	487
47	439	476
48	447	465
49	454	454
50	461	443
51	469	433
52	477	423
53	485	413
54	492	403
55	500	393
56	508	383
57	515	373
58	522	362
59	528	352
60	535	342
61	541	331
62	548	322
63	555	312
64	562	302
65	569	293
66	576	283
67	584	274
68	590	265
69	597	256
70	604	246
71	611	237
72	617	228
73	624	219
74	631	210
75	638	201
76	644	192
77	651	183
78	657	174
79	664	166
80	672	157
81	679	149
82	686	140
83	694	132
84	701	123
85	708	115
86	714	106
87	721	98
88	729	90
89	736	81
90	744	73
91	751	65
92	758	57
93	764	48
94	771	40
95	778	32
96	785	24
97	793	16
98	799	8
99	806	0
